e,name,sum,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122
47,Scherpenzeel,261,1,-3,9,1,-1,2,1,4,2,3,0,1,4,1,2,4,1,-1,9,3,9,3,4,1,-1,0,9,4,9,-2,4,3,3,-2,4,3,9,4,-2,9,-3,-1,-2,1,2,-2,-1,9,1,9,4,-3,-1,9,9,2,2,4,0,2,4,4,2,9,1,4,1,4,-1,0,-3,4,9,4,2,9,-3,3,9,-3,1,4,-2,-2,1,0,0,1,2,4,3,0,1,2,-1,4,-3,1,9,1,1,1,-3,-3,-2,4,-2,1,9,3,1,3,-2,1,1,4,-3,1,1,0,4,1
48,Steenderen,194,-3,1,0,-2,9,4,9,0,4,-2,0,4,9,1,-3,0,9,2,1,-1,1,4,-2,-1,0,2,1,9,4,9,1,9,0,-1,1,1,1,-1,-3,2,-3,9,2,2,9,-3,-2,1,3,1,1,1,1,1,2,3,1,0,2,-1,-2,-3,9,1,-2,1,0,3,4,-2,1,4,4,-3,1,4,9,9,9,2,1,1,1,1,0,3,1,3,3,-3,-3,-2,-1,-2,-2,-1,9,3,-2,9,-2,1,-2,-3,-2,1,4,1,1,1,-1,2,1,1,9,3,1,2,1,-3,0,1
49,Tiel,243,3,-2,-2,1,-3,-1,1,0,3,4,2,-2,1,2,1,9,9,9,-2,1,1,2,-3,1,-1,4,9,9,4,4,4,0,3,1,4,3,1,-2,4,0,1,4,9,1,3,-2,0,3,9,4,4,4,1,-3,4,9,-3,-2,-2,0,4,1,4,1,2,-2,4,1,3,1,1,1,1,4,3,1,-2,0,1,-1,-3,-3,1,9,-2,9,-1,9,9,-2,4,3,1,4,2,9,9,-2,9,-2,2,0,-2,2,1,4,0,1,-3,0,3,-3,1,2,-2,2,3,4,4,-3,9,1
50,Ubbergen,212,9,9,4,-1,-2,4,0,1,9,-1,-2,9,-3,1,1,9,-3,-2,-2,-2,0,1,1,4,9,4,9,3,1,9,0,0,4,4,-3,-1,9,0,1,1,-1,4,4,1,0,-3,0,-3,4,-2,3,0,0,9,0,1,0,-1,0,3,-2,-2,9,3,-3,-1,1,4,1,1,0,-3,2,0,1,2,4,1,0,9,0,1,-1,-3,1,-2,0,-1,9,-3,0,-2,0,2,9,0,0,9,4,-3,3,2,4,0,9,4,1,-2,1,-1,9,3,-3,1,0,3,9,0,-1,9,4,-3
51,Voorst,257,0,1,1,3,9,1,4,-3,3,1,9,-3,-2,2,2,9,1,0,1,4,1,3,-1,-2,9,4,1,1,1,9,1,-3,0,4,4,-1,9,1,0,-2,3,9,3,0,0,-3,3,3,-3,1,4,-3,4,-1,2,-3,2,-2,0,1,-3,2,9,2,1,9,0,0,1,0,0,9,1,3,-1,2,4,-1,9,1,2,4,1,0,9,1,0,0,0,4,0,4,3,4,3,1,9,9,1,9,3,-3,-1,4,4,9,0,0,1,1,-2,-2,-1,3,9,1,1,0,9,1,2,4
52,Vorden,183,-1,0,3,3,0,1,0,1,1,-3,4,0,4,0,-3,-2,-3,-3,1,9,-1,9,2,1,0,-1,1,9,1,-1,9,4,-3,4,-3,0,1,-2,-2,1,2,2,0,1,4,1,1,2,1,0,-2,0,1,1,9,4,2,-1,-3,3,-2,0,-2,4,9,-2,9,-3,4,-2,-3,0,3,4,1,1,-1,4,1,3,4,2,4,9,-2,1,1,9,9,4,4,4,0,4,3,2,2,1,0,1,2,9,4,1,0,0,9,-1,0,0,4,-2,-1,1,-2,0,1,-1,1,-2,1,0
53,Wageningen,356,9,1,1,4,9,-3,0,-1,4,9,0,9,1,1,9,4,4,1,-1,-3,4,-1,0,-1,-1,1,2,2,9,2,4,1,4,9,9,-3,9,9,9,0,0,4,9,4,-1,0,9,9,4,2,-3,3,9,4,-1,9,1,-1,1,9,1,3,1,3,-2,0,1,-2,4,1,3,-2,-3,1,9,0,0,1,0,4,9,9,9,3,3,9,1,1,9,3,1,2,9,3,9,0,2,9,2,0,1,1,1,0,1,4,0,4,9,-3,0,0,-2,9,1,-1,9,0,1,3,1,4
54,Warnsveld,186,3,0,4,-1,-3,4,-2,1,0,1,0,9,2,0,-3,4,0,-1,-1,0,1,3,-1,4,-2,9,1,-1,9,9,4,1,1,1,4,4,-1,-3,1,-1,0,9,-3,3,3,9,4,3,4,-2,-3,1,0,0,-3,1,-1,0,2,0,4,1,3,1,4,2,-2,0,9,-2,1,0,-1,1,-1,9,-1,1,1,9,3,1,1,0,9,1,1,2,1,4,1,1,4,-3,9,9,-3,1,-3,-2,-3,0,1,9,-3,1,2,-2,-3,4,0,-2,9,2,-2,2,3,1,0,-2,2,4
55,Wehl,225,-3,4,1,1,4,3,9,-3,-1,3,4,9,3,3,-1,1,4,3,1,4,3,4,3,3,2,-3,3,4,4,-1,3,1,-1,-1,-2,0,4,4,4,1,-2,-1,1,1,9,0,9,0,4,9,0,0,0,-1,4,0,-3,-2,-2,1,3,4,1,4,2,0,1,0,9,3,4,-1,1,0,4,1,0,9,1,0,9,9,9,2,-1,1,-3,3,4,0,1,-2,1,2,-1,-1,9,1,0,1,0,-2,1,4,9,-2,4,1,4,-1,2,1,0,4,1,1,-2,-3,-1,1,1,1
56,West Maas en Waal,216,2,1,1,1,3,-2,1,1,9,0,0,1,0,1,-1,4,3,2,-1,1,1,4,-3,1,1,2,1,1,0,0,0,1,9,9,-1,9,1,1,1,2,-1,-2,4,2,1,0,4,-3,9,-2,3,1,1,-2,4,-3,2,-1,-1,-1,4,4,-1,4,3,0,0,-3,0,4,1,4,2,9,2,-2,2,1,2,0,0,-2,4,0,1,-2,-3,1,9,0,4,1,1,-3,2,-1,-3,9,-2,9,0,9,-1,3,1,9,2,9,4,1,1,1,-3,4,-1,9,1,-3,9,9,0,9
57,Westervoort,250,1,-1,9,2,9,1,1,9,-1,4,1,-2,-3,2,3,2,2,2,-1,4,4,9,0,-3,2,9,3,1,2,9,3,2,9,0,9,1,1,1,-1,-2,-1,0,0,-1,2,-1,-1,1,0,1,-1,4,1,4,0,4,1,3,2,-2,2,1,4,-3,-2,4,0,-1,9,3,9,-1,0,0,0,1,-1,0,1,4,4,1,2,1,9,4,2,2,2,1,1,9,4,9,0,4,9,0,1,4,-3,1,9,-3,-3,-3,1,4,9,1,1,2,-3,4,1,1,1,-2,9,9,-2,-2
58,Wijchen,181,-1,4,9,-2,2,0,-1,-3,0,1,1,4,2,3,-3,-2,1,9,9,-3,3,-3,0,1,1,0,0,9,0,4,3,3,2,-3,0,-1,1,-3,9,-1,4,-1,1,0,-1,1,9,-2,9,1,4,9,0,2,-2,9,4,1,-3,0,-2,0,4,1,0,3,4,2,0,1,2,2,1,-3,9,9,-3,4,4,9,-3,-1,-3,-3,4,0,0,2,-1,0,-1,-2,1,1,0,1,0,4,1,9,9,-2,-3,2,3,-2,0,1,-2,9,1,9,-1,2,2,1,-2,0,-2,-2,3,-1
59,Winterswijk,244,1,-3,4,0,0,1,1,4,9,-3,1,4,4,4,4,3,9,3,1,4,-3,3,1,1,-3,0,4,4,9,2,-2,-1,9,9,-2,-2,1,4,1,-1,-2,0,-2,-1,2,3,-1,1,-3,4,2,2,4,0,3,3,4,3,1,9,4,0,0,0,3,2,1,0,4,4,9,1,4,0,-2,-1,2,4,-2,2,1,-1,1,2,0,1,9,9,-3,4,3,2,3,-3,1,-2,2,4,1,0,-1,4,3,2,3,9,4,1,3,-3,1,4,1,3,-1,1,0,1,9,9,1,4
60,Wisch,227,1,0,1,0,4,0,-3,0,1,-2,3,-1,9,0,4,1,0,9,1,1,2,1,1,1,1,9,1,0,-3,4,-3,9,9,-1,-3,0,9,-2,1,1,0,0,-2,4,1,-1,4,0,2,1,-3,9,4,3,3,3,9,1,1,-2,-1,1,0,3,4,9,1,9,0,9,-2,1,4,4,9,1,4,3,1,1,1,-2,0,1,9,2,-1,3,4,-2,-2,2,4,1,4,4,0,1,-3,9,-3,2,4,1,4,-3,-2,3,0,-3,0,9,9,-3,0,9,1,-2,1,2,1,-2
61,Zaltbommel,199,-2,9,0,4,-3,-2,9,3,0,0,0,1,-2,3,1,-1,-3,1,1,-2,0,9,1,9,1,1,1,1,9,9,0,9,4,1,9,-3,3,3,1,9,3,-3,-3,-2,0,-1,4,9,0,2,3,1,2,1,-2,-3,1,9,-3,1,3,4,-1,-1,3,9,1,-1,1,4,4,9,4,2,9,1,0,1,-2,9,2,-2,0,1,2,-2,1,1,1,0,1,0,1,-3,-3,1,1,0,0,2,9,-1,-2,1,-3,0,4,0,4,1,1,0,2,1,2,-1,0,0,2,-1,3,1
62,Zelhem,239,1,4,1,-1,0,9,4,1,9,4,0,1,-3,4,9,-1,1,9,4,1,-3,4,-1,1,9,9,-3,2,4,-2,1,4,4,1,2,2,-1,0,1,0,9,2,-1,-1,-2,0,-3,2,9,4,4,9,1,1,0,-3,9,1,4,2,1,1,2,1,3,9,9,-2,-1,3,4,4,1,0,-2,1,1,-2,1,1,0,2,-3,1,1,0,0,-1,9,9,1,1,-3,1,0,-3,4,-3,1,0,-3,1,-3,-2,9,0,9,4,4,1,1,1,1,9,4,1,3,9,-3,0,1,2
63,Zevenaar,252,3,9,-3,1,1,3,1,-1,-2,2,9,1,3,9,4,-1,2,0,3,-2,1,0,2,4,-3,0,9,1,1,9,4,0,4,0,2,0,1,2,9,1,0,4,1,9,4,-2,4,1,-2,1,2,0,2,2,-1,1,9,4,9,1,4,-2,3,1,0,1,3,1,9,1,1,9,1,1,3,9,4,-1,1,-3,0,-1,9,2,9,0,1,1,-2,1,0,0,-1,-2,0,1,9,3,-3,4,3,2,3,3,4,1,3,-3,2,0,-2,0,0,4,2,1,0,3,4,-3,1,9
64,Zutphen,184,9,-1,4,-1,9,4,4,4,0,1,1,9,1,-2,1,0,0,1,9,9,4,3,-3,4,-2,-2,3,1,3,9,3,9,1,-1,-1,-3,1,-2,0,-2,9,0,1,1,-1,3,3,0,9,3,-1,-3,3,1,9,3,0,-1,-2,0,0,9,0,0,2,-1,1,0,0,2,1,1,1,0,4,2,4,0,-1,0,-2,0,1,-2,-2,0,-2,9,4,-1,1,2,2,2,3,1,0,1,-1,0,0,0,-2,1,-3,-3,4,1,1,9,1,4,0,1,0,4,3,0,-2,-1,0,1
65,Appingedam,267,9,9,2,2,3,0,-2,3,9,1,2,-1,0,0,4,1,-2,0,2,0,-3,0,2,9,-1,2,1,4,-1,9,-3,1,-1,0,1,0,4,4,1,4,4,1,9,1,4,2,4,1,1,-2,1,4,3,0,2,9,1,-3,1,1,1,9,4,9,9,-1,3,4,-2,4,4,-3,4,-2,0,0,1,0,4,0,9,-1,1,9,1,2,4,9,1,0,1,4,4,4,9,-2,3,1,3,2,1,4,2,3,-3,0,9,1,4,-3,9,0,0,-2,0,2,1,3,-2,3,4,0
66,Bedum,266,-3,-2,9,1,0,-1,-3,4,4,1,9,9,4,-1,4,1,1,0,2,-3,1,4,4,0,2,-3,1,4,3,1,9,1,-2,-1,9,-1,1,-1,-2,9,2,0,-2,0,4,-2,0,3,3,1,4,9,9,3,-2,4,9,-2,-2,1,9,9,4,1,1,9,1,9,3,1,3,3,4,9,2,1,-2,1,-2,-2,0,-3,-1,0,1,0,2,2,-2,4,1,3,1,0,-2,-3,4,1,-2,9,4,9,1,3,2,1,-2,3,-3,-2,9,3,1,4,4,9,1,9,0,4,9,1
67,Bellingwedde,244,4,4,0,-3,1,1,9,-2,1,9,-2,-3,9,-2,2,4,-1,9,2,0,9,1,-1,0,4,9,9,3,4,9,1,0,1,0,1,4,9,0,-3,2,0,1,0,-2,-2,1,-3,1,9,2,1,4,1,-3,-1,9,-2,1,9,0,-1,3,3,-1,3,4,-1,-2,1,3,1,9,0,9,-1,0,1,9,1,1,-1,0,4,9,-3,0,3,9,2,0,-2,2,2,-1,3,-1,4,4,2,-1,4,-1,2,-1,1,3,3,1,4,-1,-3,1,1,1,9,0,1,1,9,0,1,1
68,Drenthe,246,0,2,1,-1,1,-3,1,0,9,2,0,0,1,-3,-2,4,3,1,-1,1,9,-2,3,1,-1,4,9,0,-2,1,0,1,9,0,3,1,-1,-3,2,4,4,4,1,2,1,4,4,9,4,1,9,2,1,0,1,1,1,2,9,9,0,3,1,2,1,2,-2,1,9,1,4,0,1,3,2,0,0,4,0,-1,2,9,1,4,0,1,-3,4,1,4,3,1,4,-1,4,2,1,1,0,4,1,4,0,9,9,-1,3,-2,-2,0,4,2,4,9,-1,-1,-2,9,4,-2,-1,4
69,De Marne,212,4,0,0,-1,0,-1,-2,4,1,3,9,4,-1,-1,1,0,-3,-1,9,1,1,4,1,0,-3,9,-2,1,4,1,9,4,-2,1,0,1,-3,-1,4,1,2,1,-1,1,1,-1,9,4,0,0,-3,-2,-3,0,2,2,9,4,9,2,2,1,-3,-1,1,-2,0,-3,3,-2,1,-1,3,1,0,4,3,3,9,0,0,4,1,3,0,0,3,0,3,9,3,-1,-1,4,0,0,0,-1,-2,1,0,1,9,3,9,1,4,4,-1,9,-2,9,1,9,9,1,-1,4,0,1,1,4
70,Delfzijl,281,1,9,1,9,1,-3,-2,1,0,1,2,-2,-3,3,4,-2,-3,1,1,9,-2,1,1,1,-1,4,9,4,2,0,-1,1,9,9,9,4,0,9,-2,-2,1,9,-1,3,9,4,-1,9,3,1,1,0,-2,1,0,9,4,1,4,2,9,1,0,1,9,1,4,9,9,9,0,9,0,1,-3,0,4,1,-1,-2,3,0,3,1,9,1,1,1,1,1,2,-1,4,4,-3,1,1,-3,4,-1,1,-3,9,1,3,0,0,0,9,0,4,9,4,1,-1,0,-2,0,9,0,-2,9
71,Eemsmond,251,-1,9,4,0,9,0,-3,1,-3,4,9,-2,1,1,0,-1,-3,4,0,1,9,3,3,1,1,1,-3,-1,9,3,0,-2,1,1,9,-1,9,1,1,1,9,-3,4,3,0,9,0,9,4,4,4,3,1,1,-1,0,0,3,9,1,0,2,3,-3,-2,-2,1,-1,9,2,-2,-2,0,9,-3,-3,1,0,-3,4,9,9,-3,9,-1,1,1,1,1,0,9,-2,1,4,0,1,1,1,1,-3,0,0,-2,4,2,3,3,1,0,-2,1,4,0,9,2,9,0,9,1,9,9,3
72,Groningen,281,9,4,3,-3,0,1,9,1,4,1,2,1,-3,0,-3,9,4,-1,0,-3,-2,-2,9,-3,-2,1,9,-1,9,4,1,1,-2,0,-3,9,4,1,1,9,2,9,1,1,3,4,9,0,4,-2,-1,4,-3,4,4,3,1,9,1,-3,9,1,3,4,1,3,9,1,0,-3,9,4,9,0,0,1,-2,0,-2,-3,-1,-1,9,9,-1,4,9,4,4,0,1,1,1,9,1,2,2,2,9,1,0,4,4,-2,-1,3,4,-1,1,1,0,1,1,9,1,3,9,4,1,1,4,-3
73,Grootegast,336,-2,9,1,9,2,-1,9,1,4,0,9,9,-3,2,9,3,9,0,0,0,4,3,4,4,9,4,1,1,3,0,1,1,9,9,9,4,-1,9,0,4,-1,1,0,1,0,1,1,4,-2,1,-2,-1,-1,9,2,-1,1,2,0,-1,0,9,3,9,4,2,4,-1,-2,3,-1,1,9,-3,9,-3,9,0,4,0,2,4,9,9,0,-2,2,-3,-1,1,1,-3,9,1,4,9,1,9,0,0,1,9,1,2,9,3,1,9,-1,4,2,0,-1,9,1,4,4,-2,9,4,-2,0
74,Haren,264,9,-3,9,4,-2,1,-1,0,4,9,-2,2,-3,-1,4,9,-3,-2,1,1,1,9,1,-2,0,0,-2,9,1,4,4,4,1,9,9,0,-3,1,9,0,-2,1,0,1,9,1,1,2,9,-2,-3,-3,9,9,1,-3,2,1,1,1,-1,4,9,4,1,1,9,0,9,-1,1,1,9,4,0,2,1,9,0,0,2,1,1,-2,1,1,9,-3,1,1,4,1,-2,2,9,-3,4,-3,4,-1,1,0,0,1,1,4,-3,2,4,9,1,4,3,4,9,-3,3,1,-3,0,9,2
75,Hoogezand-Sappemeer,225,1,4,4,0,3,9,1,-2,2,4,4,0,-3,0,0,2,1,-3,9,9,1,1,-2,-2,-3,-2,0,4,4,-2,0,2,9,0,-1,9,-3,3,9,9,4,4,4,0,0,-2,4,1,3,9,4,9,0,9,2,9,1,2,0,-1,1,0,-1,1,2,1,-2,2,1,-2,9,0,-1,-1,9,0,0,1,4,9,4,9,1,-3,-1,-3,-3,-1,1,0,4,-3,-3,0,-3,4,9,4,-1,0,-3,9,-2,4,2,1,-2,4,0,0,9,0,4,-2,1,1,0,1,1,1,2,3
76,Leek,271,4,1,1,1,0,1,1,-3,0,-1,4,4,3,1,1,2,4,4,1,1,9,2,1,4,1,4,0,4,1,1,0,-1,9,9,-2,4,1,9,9,4,4,4,9,1,1,2,-3,2,9,1,3,9,-1,9,4,1,1,2,2,2,9,1,3,-2,-3,1,0,4,-1,9,9,-1,-3,2,1,3,0,4,3,1,9,2,-2,4,0,0,4,1,1,4,9,-2,0,-1,0,2,4,1,2,1,-1,0,0,3,0,3,1,-3,1,-2,0,-3,9,1,0,4,0,1,-2,9,9,1
77,Loppersum,262,3,3,9,1,4,9,4,2,0,1,0,0,-1,2,-3,1,1,9,0,-1,9,9,9,2,-3,1,2,2,1,4,-3,0,-2,4,3,1,1,9,0,-3,9,9,4,4,3,-1,1,4,4,-1,0,2,-3,0,4,4,-1,-3,3,4,4,1,2,1,-3,4,4,4,1,-3,-2,3,9,4,1,-3,9,-2,4,4,-1,9,2,9,1,-3,9,-1,9,3,1,9,1,0,1,-1,3,4,4,1,1,4,1,2,0,3,0,0,-1,4,-1,-3,0,0,2,1,1,1,0,9,0,0
78,Marum,229,1,2,9,1,9,0,9,1,4,4,0,-2,-3,4,-1,0,-1,-1,-1,4,4,0,1,4,-3,1,-3,-3,3,4,1,4,0,4,1,9,1,4,1,9,2,4,1,-2,4,4,0,9,-2,1,1,0,-2,0,1,3,3,0,-3,-2,9,3,9,-2,1,-1,9,1,-1,-2,-3,9,3,0,1,3,0,0,9,1,-3,1,2,1,-3,3,9,1,2,2,9,-2,1,4,0,0,-2,9,1,0,2,3,1,9,1,-3,-1,1,3,9,1,-1,1,-1,9,-2,-3,0,1,3,0,9
79,Menterwolde,227,1,-2,4,4,0,-1,0,1,1,-2,1,0,-2,-1,-2,3,2,9,-3,9,9,0,4,1,1,1,2,1,3,1,0,9,-1,4,0,0,4,1,3,2,0,9,9,1,-3,1,1,-3,0,1,2,0,9,0,2,0,9,-1,4,9,0,-3,9,-3,-2,-1,1,9,0,0,2,1,0,4,-2,-2,1,1,9,1,9,0,9,9,-3,4,9,-3,-1,0,3,1,2,2,0,0,1,4,1,0,1,4,9,-1,2,1,-3,4,-2,4,-1,1,0,3,1,0,1,9,-2,9,-2,0
80,Pekela,188,9,1,2,-2,1,4,2,9,-3,-2,0,4,1,4,0,1,0,1,4,0,0,9,2,4,9,0,3,-3,-3,-2,0,9,0,1,-1,0,-1,-1,1,1,4,4,2,1,2,4,4,4,0,3,3,1,1,-3,-3,0,0,-1,9,0,4,0,9,0,0,-2,2,1,-3,9,0,0,-3,-3,1,-2,3,-1,9,-1,0,4,1,1,0,9,0,-3,2,4,1,1,1,0,1,-3,1,1,0,0,1,1,4,1,9,2,1,-2,-1,0,1,4,2,9,0,2,1,-3,4,3,9,-3
81,Reiderland,204,9,-2,0,-1,1,4,9,4,4,4,1,4,3,4,1,9,1,1,0,-3,9,3,0,1,0,0,1,2,4,3,-2,-3,1,1,4,-1,1,2,9,1,9,1,-2,4,1,1,4,0,9,9,1,1,-1,-3,-3,1,0,2,1,-3,3,2,1,-3,2,1,4,0,1,1,-2,9,1,-3,1,0,-1,4,-1,4,-1,9,1,-1,2,0,0,1,3,-3,4,0,9,0,-2,-1,-3,-3,9,9,1,-3,2,0,9,-1,0,4,-3,1,2,1,4,-1,1,1,2,3,-1,9,-3,-2
82,Scheemda,299,4,4,9,4,0,4,0,2,4,0,9,4,-1,-1,4,3,1,4,-1,3,2,9,1,-3,0,0,-1,9,-1,3,0,0,2,4,1,4,-3,9,4,4,1,1,9,3,9,4,-1,9,1,4,1,9,2,4,9,1,0,9,4,9,1,-1,1,9,0,-3,1,9,-2,-3,1,-1,0,9,4,-1,-2,4,-3,1,2,0,0,4,-3,1,-2,0,0,2,9,1,1,4,9,-1,2,4,9,2,9,3,3,-1,-2,3,3,-2,4,1,0,0,0,0,4,0,-1,2,3,1,9,4
83,Slochteren,203,-2,1,-3,1,0,3,1,1,-2,-3,4,2,-1,3,-1,1,3,4,0,9,9,4,-2,1,4,3,1,9,-3,-3,0,1,9,3,3,4,3,-1,-2,4,2,0,2,4,4,-2,0,1,2,1,2,1,1,4,4,-1,1,4,-2,1,4,-1,-3,-2,9,0,4,0,9,-2,1,0,9,4,-2,0,4,-2,9,2,3,1,-2,3,4,1,1,-1,-3,-2,9,9,1,0,-2,2,-2,-1,2,0,1,9,4,1,4,0,-2,2,9,0,9,4,-3,1,0,-3,1,-2,1,-1,4,1
84,Stadskanaal,311,-3,1,9,0,4,-3,9,-1,9,-2,3,0,9,1,0,4,-1,1,1,3,4,9,1,9,-1,1,9,1,1,4,4,0,1,4,-1,-1,9,-1,9,-1,4,0,2,1,-1,3,-1,-3,1,0,4,4,4,3,-3,0,9,1,9,1,0,4,1,0,0,4,1,0,1,1,3,-2,9,-1,1,4,9,0,4,0,-2,0,4,1,-3,1,-1,9,0,2,1,1,9,4,1,4,4,9,-2,2,0,9,4,4,1,9,4,3,9,9,1,-2,-2,9,9,-1,-2,0,4,4,4,9
85,Ten Boer,209,3,4,-3,1,1,3,2,9,9,0,1,2,4,9,-1,3,4,1,0,-1,-2,9,4,0,3,0,1,3,1,1,1,2,4,-1,2,-2,2,0,4,-3,4,0,1,3,-2,2,0,0,1,4,1,4,0,4,-1,0,1,-1,4,-3,-2,3,4,2,4,1,-3,1,2,9,1,3,1,3,-2,-2,-2,1,1,4,-2,1,4,0,-1,9,-3,2,-2,2,0,1,-2,9,-2,-2,0,9,1,3,9,1,9,1,4,4,3,9,0,-3,1,9,1,-1,4,1,0,1,2,-3,-2,1
86,Veendam,284,9,0,0,1,1,-3,0,3,9,4,1,1,0,4,9,3,1,9,3,9,1,-2,1,1,4,4,4,1,1,1,2,4,0,1,4,9,-1,1,4,9,4,-2,3,4,-1,4,3,-2,2,9,1,4,0,4,1,1,-2,1,1,-2,9,2,9,3,2,-1,0,3,-2,1,0,0,4,0,-3,-3,4,-3,1,4,-3,1,9,9,2,0,0,0,4,0,1,3,0,2,0,-3,9,9,1,2,1,1,9,1,3,1,-1,-3,1,1,9,9,4,1,-3,9,9,4,1,1,4,0
87,Vlagtwedde,272,9,-2,4,1,-3,9,4,9,1,1,0,1,3,9,0,1,0,4,1,-3,3,1,4,1,-2,-2,1,1,3,-1,1,0,2,0,-2,0,1,9,9,4,1,-1,3,-1,1,2,-3,4,-1,3,4,4,0,9,-1,9,9,9,1,0,4,0,2,1,4,9,4,1,4,4,0,-1,-1,-2,9,4,-3,-2,-1,4,-2,1,0,2,-1,-2,9,9,4,-3,1,9,9,-3,1,4,3,-3,4,0,-1,9,1,3,3,0,4,-1,1,2,0,1,9,4,-2,9,0,3,1,4,2,4
88,Winschoten,228,4,1,9,9,9,1,0,1,1,-1,9,1,1,0,4,0,0,9,1,-2,4,9,1,0,3,9,9,1,9,1,1,-2,-2,1,1,-1,1,0,1,1,-1,-1,0,9,1,0,1,4,3,4,9,1,9,1,-2,-1,2,9,2,-2,9,2,9,1,-3,4,-2,1,3,-3,0,1,2,0,3,4,4,-1,4,9,1,-1,4,4,4,4,2,-3,0,0,-2,0,-2,-1,4,2,4,4,-3,-2,4,-3,1,9,-3,0,0,0,1,1,-3,0,4,-1,-3,0,1,1,0,4,-1,-2
89,Winsum,217,4,-2,4,4,1,4,-1,1,9,1,-2,1,0,9,0,-2,-3,0,1,-1,3,-1,-1,4,0,9,1,1,3,1,-1,3,2,0,4,9,-3,0,9,9,1,1,4,4,1,-2,3,9,0,2,9,9,9,0,1,-2,-2,4,1,-3,-2,-3,1,0,9,0,1,-1,-3,4,3,4,-2,0,-2,1,1,2,3,1,3,1,9,1,-1,-2,4,2,-2,-1,1,0,1,4,-2,4,-3,2,0,3,1,-3,-2,4,4,2,3,0,2,2,4,9,4,4,1,4,4,-3,1,4,4,-2
90,Zuidhorn,269,1,-3,-3,-3,0,4,4,9,-2,1,-2,4,3,1,4,-3,1,9,9,4,0,1,2,0,9,-1,-2,2,-1,-3,0,4,0,-1,9,4,0,9,9,-2,2,4,2,0,9,9,9,1,-3,0,0,-1,1,9,-2,0,1,9,0,-3,4,1,9,3,0,9,4,1,-2,9,0,4,-1,9,1,-3,4,0,-1,-3,1,4,-1,1,9,4,-2,9,3,9,4,0,4,0,9,9,4,-2,9,-2,4,1,4,1,0,4,1,2,-1,-2,2,2,0,1,-2,-2,9,-3,-1,4,0,1
91,Ambt Montfort,259,0,-2,4,0,1,0,-3,1,-2,4,0,0,4,4,4,0,1,0,3,9,4,1,3,3,-3,0,3,4,0,1,-1,-1,-3,4,-1,1,1,1,-1,1,9,3,-3,1,-3,9,0,9,0,9,1,0,4,2,4,9,0,3,1,4,4,0,9,4,1,9,0,-1,1,4,1,-3,1,4,-3,1,-1,9,-2,2,-1,-3,1,2,1,4,2,9,9,-3,9,9,1,4,2,1,9,0,1,9,-2,3,2,1,1,1,4,3,-1,0,9,2,1,4,4,-3,1,1,9,-3,0,9
92,Arcen en Velden,204,1,4,1,0,-2,-3,-2,4,9,-1,0,9,4,0,4,1,1,-1,1,9,9,-3,1,3,-2,9,2,1,1,9,9,-3,-1,0,4,1,3,4,1,-1,0,-1,0,0,0,1,2,1,-2,1,4,9,-3,3,4,4,1,1,-2,3,-1,4,4,-3,0,1,-2,-2,-1,1,-2,1,1,0,4,1,2,1,0,2,4,1,9,-1,2,1,-3,1,4,0,-3,1,-2,1,-3,1,1,1,0,9,4,2,-2,9,9,-3,1,2,4,1,4,1,1,-2,1,0,4,4,0,4,9,4
93,Beek,213,3,1,4,0,1,9,-2,0,4,2,4,9,0,9,-3,1,1,1,9,-3,9,3,2,9,3,3,1,4,2,0,4,0,9,-1,4,1,2,1,1,-3,3,4,1,4,-2,-2,-3,9,4,9,9,-2,0,0,3,4,0,9,0,1,9,1,-2,1,-1,4,0,0,-2,1,0,-2,4,3,-2,1,-2,4,-1,0,9,1,1,-2,4,1,0,-3,-3,-1,-2,2,-2,1,1,-3,1,-1,3,1,9,-1,9,-1,-1,1,2,3,4,2,1,-3,-1,1,1,0,-1,-3,9,-1,4,0
94,Beesel,259,1,-1,1,-3,2,1,-2,0,4,9,0,0,9,-1,9,3,-3,9,-2,9,2,3,0,0,0,1,0,2,3,4,9,1,3,2,0,3,1,4,9,1,9,-1,0,1,3,9,-3,9,-1,9,0,1,0,-2,1,0,-3,4,0,9,1,2,1,9,-2,9,-1,1,4,1,4,1,0,2,-3,-2,9,1,0,-1,4,9,9,2,1,0,-3,-1,-2,0,4,0,2,1,3,9,9,3,4,1,0,3,2,-2,4,0,-3,4,-2,4,4,9,-3,1,0,1,3,0,0,-1,9,-3
